id_commande,id_client,id_produit,quantite_totale,vente_totale
9,9,9,655,2833.47
19,19,19,473,1265.4
35,35,35,924,8759.21
45,45,45,501,2122.33
52,52,52,7,8551.37
55,55,55,664,5495.75
65,65,65,463,9119.14
66,66,66,125,5572.13
75,75,75,834,2472.96
81,81,81,605,3465.11
83,83,83,28,1173.53
91,91,91,526,3056.31
96,96,96,377,1004.85
110,110,110,216,684.34
115,115,115,15,5442.76
121,121,121,982,4198.01
124,124,124,293,1267.96
131,131,131,26,3065.48
184,184,184,169,8274.05
190,190,190,303,470.48
198,198,198,627,4651.67
202,202,202,88,1065.64
212,212,212,658,9727.88
230,230,230,114,8144.45
242,242,242,268,7508.52
247,247,247,765,1600.91
250,250,250,811,2043.47
252,252,252,875,8307.73
259,259,259,598,9498.73
262,262,262,776,9202.13
272,272,272,541,7920.65
283,283,283,961,5938.14
291,291,291,728,2672.77
296,296,296,514,3037.03
298,298,298,187,966.58
299,299,299,709,981.52
301,301,301,317,6258.94
304,304,304,178,1985.63
307,307,307,132,7534.6
321,321,321,358,1231.94
322,322,322,620,6057.02
326,326,326,873,6026.53
328,328,328,32,8011.12
340,340,340,823,7233.53
342,342,342,643,9185.78
351,351,351,786,4255.73
355,355,355,394,847.4
366,366,366,531,8077.28
371,371,371,260,1052.32
374,374,374,981,188.2
376,376,376,795,1916.76
388,388,388,811,6123.8
389,389,389,505,2010.59
392,392,392,315,9779.1
395,395,395,960,5906.05
397,397,397,989,7544.9
402,402,402,893,2431.98
405,405,405,470,7572.93
410,410,410,799,9741.08
411,411,411,979,3018.7
438,438,438,850,4603.9
440,440,440,989,2370.75
470,470,470,595,8742.2
479,479,479,731,4913.6
500,500,500,427,8270.94
501,501,501,420,9120.99
504,504,504,460,753.67
518,518,518,938,4466.71
528,528,528,578,3555.43
529,529,529,707,4188.71
535,535,535,874,8234.32
546,546,546,288,4527.02
551,551,551,550,1300.36
562,562,562,981,5052.55
564,564,564,833,431.5
568,568,568,407,7483.86
569,569,569,388,9128.02
582,582,582,363,9770.37
583,583,583,218,266.24
586,586,586,101,1882.81
587,587,587,561,1452.77
588,588,588,546,9173.53
590,590,590,861,2292.68
603,603,603,948,6842.77
604,604,604,718,355.14
613,613,613,263,4961.81
619,619,619,277,4222.08
636,636,636,274,8605.94
649,649,649,454,587.95
661,661,661,598,7550.11
664,664,664,959,8438.22
668,668,668,103,4295.07
677,677,677,701,7566.45
678,678,678,859,9558.17
684,684,684,508,2281.35
686,686,686,726,7639.11
693,693,693,33,8335.47
697,697,697,376,9134.49
702,702,702,166,7078.75
705,705,705,261,5197.31
706,706,706,56,2756.54
707,707,707,131,804.22
710,710,710,922,8863.9
732,732,732,520,7763.83
753,753,753,209,9193.96
780,780,780,840,9394.99
793,793,793,501,1837.72
794,794,794,419,9809.67
803,803,803,863,9296.4
818,818,818,804,2261.76
819,819,819,536,8710.27
820,820,820,844,8102.72
842,842,842,593,5856.4
846,846,846,322,3840.98
851,851,851,72,6497.64
853,853,853,210,5883.98
869,869,869,696,1282.51
872,872,872,73,5908.74
889,889,889,920,3911.77
897,897,897,899,4865.5
900,900,900,648,2126.37
908,908,908,136,6079.23
920,920,920,209,4247.48
929,929,929,889,1426.46
942,942,942,207,6116.56
946,946,946,666,3032.66
980,980,980,594,9030.47
991,991,991,243,9103.69
993,993,993,868,3259.71
996,996,996,194,7684.76
